Program Year,Program,SFA ID,SFA Name,Claim Date,Meal Type,Number of Sites/Centers/Providers,Total Enrolled,Number of Operating/Serving Days,Free Meals Served,Reduced Price Meals Served,Paid Meals Served,Total Meals Served,Non-Program Adult Meals,Average Daily Attendance (ADA)
2019 - 2020,School Nutrition Programs,"5,772",St. James Catholic School,02/01/2020,7. Milk,1,0,18,0,0,"4,336","4,336",,253
2019 - 2020,School Nutrition Programs,"5,773",St. Timothy School,09/01/2019,7. Milk,1,0,19,0,0,"2,839","2,839",,645
2019 - 2020,School Nutrition Programs,"5,773",St. Timothy School,10/01/2019,7. Milk,1,0,20,0,0,"3,198","3,198",,642
2019 - 2020,School Nutrition Programs,"5,773",St. Timothy School,11/01/2019,7. Milk,1,0,15,0,0,"2,452","2,452",,645
2019 - 2020,School Nutrition Programs,"5,773",St. Timothy School,12/01/2019,7. Milk,1,0,12,0,0,"1,692","1,692",,647
2019 - 2020,School Nutrition Programs,"5,773",St. Timothy School,01/01/2020,7. Milk,1,0,17,0,0,"2,582","2,582",,642
2019 - 2020,School Nutrition Programs,"5,773",St. Timothy School,02/01/2020,7. Milk,1,0,18,0,0,"3,020","3,020",,640
2019 - 2020,School Nutrition Programs,"5,773",St. Timothy School,03/01/2020,7. Milk,1,0,9,0,0,"1,488","1,488",,645
2019 - 2020,School Nutrition Programs,"5,775",Blessed Sacrament School,09/01/2019,7. Milk,1,0,20,0,0,"2,568","2,568",,277
2019 - 2020,School Nutrition Programs,"5,775",Blessed Sacrament School,10/01/2019,7. Milk,1,0,21,0,0,"2,141","2,141",,279
2019 - 2020,School Nutrition Programs,"5,775",Blessed Sacrament School,11/01/2019,7. Milk,1,0,17,0,0,"2,171","2,171",,273
2019 - 2020,School Nutrition Programs,"5,775",Blessed Sacrament School,12/01/2019,7. Milk,1,0,15,0,0,"2,067","2,067",,274
2019 - 2020,School Nutrition Programs,"5,775",Blessed Sacrament School,01/01/2020,7. Milk,1,0,19,0,0,"2,372","2,372",,274
2019 - 2020,School Nutrition Programs,"5,775",Blessed Sacrament School,02/01/2020,7. Milk,1,0,19,0,0,"2,663","2,663",,271
2019 - 2020,School Nutrition Programs,"5,777",St. Andrew the Apostle School,09/01/2019,7. Milk,1,0,19,0,0,669,669,,136
2019 - 2020,School Nutrition Programs,"5,777",St. Andrew the Apostle School,10/01/2019,7. Milk,1,0,21,0,0,687,687,,136
2019 - 2020,School Nutrition Programs,"5,777",St. Andrew the Apostle School,11/01/2019,7. Milk,1,0,15,0,0,565,565,,134
2019 - 2020,School Nutrition Programs,"5,777",St. Andrew the Apostle School,12/01/2019,7. Milk,1,0,15,0,0,557,557,,134
2019 - 2020,School Nutrition Programs,"5,777",St. Andrew the Apostle School,01/01/2020,7. Milk,1,0,18,0,0,630,630,,153
2019 - 2020,School Nutrition Programs,"5,777",St. Andrew the Apostle School,02/01/2020,7. Milk,1,0,18,0,0,618,618,,132
2019 - 2020,School Nutrition Programs,"5,778",St. Michael School,09/01/2019,7. Milk,1,0,20,0,0,"1,175","1,175",,244
2019 - 2020,School Nutrition Programs,"5,778",St. Michael School,11/01/2019,7. Milk,1,0,17,0,0,"1,048","1,048",,240
2019 - 2020,School Nutrition Programs,"5,778",St. Michael School,12/01/2019,7. Milk,1,0,14,0,0,721,721,,240
2019 - 2020,School Nutrition Programs,"5,778",St. Michael School,01/01/2020,7. Milk,1,0,18,0,0,"1,179","1,179",,240
2019 - 2020,School Nutrition Programs,"5,778",St. Michael School,02/01/2020,7. Milk,1,0,19,0,0,"1,239","1,239",,240
2019 - 2020,School Nutrition Programs,"5,778",St. Michael School,03/01/2020,7. Milk,1,0,9,0,0,554,554,,235
2019 - 2020,School Nutrition Programs,"5,779",St. Mark Catholic School,01/01/2020,7. Milk,1,0,15,0,0,775,775,,335
2019 - 2020,School Nutrition Programs,"5,781",Our Lady of Hope Catholic School,09/01/2019,7. Milk,1,0,19,0,0,822,822,,46
2019 - 2020,School Nutrition Programs,"5,781",Our Lady of Hope Catholic School,10/01/2019,7. Milk,1,0,21,0,0,907,907,,46
2019 - 2020,School Nutrition Programs,"5,781",Our Lady of Hope Catholic School,11/01/2019,7. Milk,1,0,19,0,0,839,839,,45
2019 - 2020,School Nutrition Programs,"5,781",Our Lady of Hope Catholic School,12/01/2019,7. Milk,1,0,12,0,0,546,546,,45
2019 - 2020,School Nutrition Programs,"5,781",Our Lady of Hope Catholic School,01/01/2020,7. Milk,1,0,16,0,0,708,708,,47
2019 - 2020,School Nutrition Programs,"5,781",Our Lady of Hope Catholic School,02/01/2020,7. Milk,1,0,19,0,0,778,778,,48
2019 - 2020,School Nutrition Programs,"5,781",Our Lady of Hope Catholic School,03/01/2020,7. Milk,1,0,8,0,0,347,347,,49
2019 - 2020,School Nutrition Programs,"5,782",St. Bernadette Catholic School,09/01/2019,1. Breakfast,1,424,20,0,3,250,253,,374
2019 - 2020,School Nutrition Programs,"5,782",St. Bernadette Catholic School,09/01/2019,3. Lunch,1,424,18,182,138,"2,149","2,469",,374
2019 - 2020,School Nutrition Programs,"5,782",St. Bernadette Catholic School,10/01/2019,1. Breakfast,1,426,21,0,14,267,281,,362
2019 - 2020,School Nutrition Programs,"5,782",St. Bernadette Catholic School,10/01/2019,3. Lunch,1,426,21,252,124,"2,462","2,838",,362
2019 - 2020,School Nutrition Programs,"5,782",St. Bernadette Catholic School,11/01/2019,1. Breakfast,1,426,16,5,4,166,175,,359
2019 - 2020,School Nutrition Programs,"5,782",St. Bernadette Catholic School,11/01/2019,3. Lunch,1,426,16,191,74,"1,780","2,045",,359
2019 - 2020,School Nutrition Programs,"5,782",St. Bernadette Catholic School,12/01/2019,1. Breakfast,1,402,15,12,2,178,192,,361
2019 - 2020,School Nutrition Programs,"5,782",St. Bernadette Catholic School,12/01/2019,3. Lunch,1,402,14,197,72,"1,829","2,098",,361
2019 - 2020,School Nutrition Programs,"5,782",St. Bernadette Catholic School,01/01/2020,1. Breakfast,1,429,19,17,5,164,186,,358
2019 - 2020,School Nutrition Programs,"5,782",St. Bernadette Catholic School,01/01/2020,3. Lunch,1,429,19,246,91,"2,152","2,489",,358
2019 - 2020,School Nutrition Programs,"5,782",St. Bernadette Catholic School,02/01/2020,1. Breakfast,1,430,19,11,6,155,172,,353
2019 - 2020,School Nutrition Programs,"5,782",St. Bernadette Catholic School,02/01/2020,3. Lunch,1,430,19,261,85,"2,312","2,658",,353
2019 - 2020,School Nutrition Programs,"5,782",St. Bernadette Catholic School,03/01/2020,1. Breakfast,1,430,9,5,1,66,72,,346
2019 - 2020,School Nutrition Programs,"5,782",St. Bernadette Catholic School,03/01/2020,3. Lunch,1,430,9,134,41,"1,115","1,290",,346
2019 - 2020,School Nutrition Programs,"5,783",St. Louis Catholic School,09/01/2019,7. Milk,1,0,20,0,0,"2,157","2,157",,458
2019 - 2020,School Nutrition Programs,"5,783",St. Louis Catholic School,10/01/2019,7. Milk,1,0,21,0,0,"2,256","2,256",,452
2019 - 2020,School Nutrition Programs,"5,783",St. Louis Catholic School,11/01/2019,7. Milk,1,0,16,0,0,"1,785","1,785",,447
2019 - 2020,School Nutrition Programs,"5,783",St. Louis Catholic School,12/01/2019,7. Milk,1,0,15,0,0,"1,512","1,512",,446
2019 - 2020,School Nutrition Programs,"5,783",St. Louis Catholic School,01/01/2020,7. Milk,1,0,17,0,0,"1,810","1,810",,448
2019 - 2020,School Nutrition Programs,"5,783",St. Louis Catholic School,02/01/2020,7. Milk,1,0,19,0,0,"1,746","1,746",,437
2019 - 2020,School Nutrition Programs,"5,783",St. Louis Catholic School,03/01/2020,7. Milk,1,0,9,0,0,904,904,,444
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,09/01/2019,1. Breakfast,1,384,18,233,92,134,459,,377
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,09/01/2019,1. Breakfast,1,886,19,506,348,519,"1,373",,868
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,09/01/2019,3. Lunch,2,"1,270",19,"1,533","1,792","3,362","6,687",,"1,245"
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,10/01/2019,1. Breakfast,1,385,21,308,135,208,651,,369
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,10/01/2019,1. Breakfast,1,863,21,580,401,544,"1,525",,826
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,10/01/2019,3. Lunch,2,"1,248",21,"1,889","2,415","4,344","8,648",,"1,195"
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,11/01/2019,1. Breakfast,1,386,15,209,151,132,492,,370
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,11/01/2019,1. Breakfast,1,880,13,385,261,317,963,,838
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,11/01/2019,3. Lunch,2,"1,266",15,"1,216","1,657","2,869","5,742",,"1,208"
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,12/01/2019,1. Breakfast,1,386,12,139,108,114,361,,370
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,12/01/2019,1. Breakfast,1,885,12,344,228,305,877,,849
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,12/01/2019,3. Lunch,2,"1,271",14,"1,226","1,788","2,931","5,945",,"1,219"
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,01/01/2020,1. Breakfast,1,392,16,151,162,184,497,,374
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,01/01/2020,1. Breakfast,1,899,17,476,309,407,"1,192",,859
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,01/01/2020,3. Lunch,2,"1,291",18,"1,558","2,105","3,551","7,214",,"1,233"
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,02/01/2020,1. Breakfast,1,392,19,214,232,255,701,,377
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,02/01/2020,1. Breakfast,1,915,19,542,413,426,"1,381",,875
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,02/01/2020,3. Lunch,2,"1,307",19,"1,756","2,278","3,887","7,921",,"1,252"
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,03/01/2020,1. Breakfast,1,392,7,85,87,107,279,,377
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,03/01/2020,1. Breakfast,1,921,8,190,160,169,519,,883
2019 - 2020,School Nutrition Programs,"5,788",Virginia Domestic Dependents,03/01/2020,3. Lunch,2,"1,313",8,600,823,"1,469","2,892",,"1,260"
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,09/01/2019,1. Breakfast,1,5,10,40,0,0,40,,5
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,09/01/2019,1. Breakfast,15,169,30,"3,814",0,0,"3,814",,163
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,09/01/2019,3. Lunch,17,295,30,"4,445",0,759,"5,204",,289
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,09/01/2019,4. PM Snack,15,150,30,"3,515",0,0,"3,515",,144
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,10/01/2019,1. Breakfast,1,5,8,38,0,0,38,,5
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,10/01/2019,1. Breakfast,15,173,31,"4,070",0,0,"4,070",,166
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,10/01/2019,3. Lunch,17,300,31,"4,663",0,769,"5,432",,293
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,10/01/2019,4. PM Snack,15,152,31,"3,853",0,0,"3,853",,146
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,11/01/2019,1. Breakfast,1,5,12,43,0,0,43,,5
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,11/01/2019,1. Breakfast,13,164,30,"3,805",0,0,"3,805",,158
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,11/01/2019,3. Lunch,15,294,30,"4,261",0,641,"4,902",,286
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,11/01/2019,4. PM Snack,13,214,30,"3,412",0,0,"3,412",,138
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,12/01/2019,1. Breakfast,1,5,16,54,0,0,54,,5
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,12/01/2019,1. Breakfast,12,214,31,"3,792",0,0,"3,792",,213
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,12/01/2019,3. Lunch,14,298,31,"4,719",0,0,"4,719",,292
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,12/01/2019,4. PM Snack,14,151,31,"3,720",0,0,"3,720",,150
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,01/01/2020,1. Breakfast,14,174,31,"4,386",0,0,"4,386",,174
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,01/01/2020,3. Lunch,15,301,31,"5,229",0,0,"5,229",,301
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,01/01/2020,4. PM Snack,13,144,31,"3,664",0,0,"3,664",,144
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,02/01/2020,1. Breakfast,15,177,29,"3,805",0,0,"3,805",,177
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,02/01/2020,3. Lunch,16,312,29,"5,038",0,0,"5,038",,312
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,02/01/2020,4. PM Snack,14,147,29,"3,745",0,0,"3,745",,147
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,03/01/2020,1. Breakfast,1,5,22,95,0,0,95,,5
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,03/01/2020,1. Breakfast,16,233,31,"4,597",0,0,"4,597",,233
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,03/01/2020,3. Lunch,18,313,31,"4,955",0,0,"4,955",,313
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,03/01/2020,4. PM Snack,15,153,31,"4,385",0,0,"4,385",,153
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,04/01/2020,1. Breakfast,1,5,30,150,0,0,150,,5
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,04/01/2020,1. Breakfast,16,157,30,"3,964",0,0,"3,964",,157
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,04/01/2020,3. Lunch,17,162,30,"4,355",0,0,"4,355",,162
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,04/01/2020,4. PM Snack,17,162,30,"4,631",0,0,"4,631",,162
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,05/01/2020,1. Breakfast,1,5,31,155,0,0,155,,5
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,05/01/2020,1. Breakfast,15,151,31,"4,130",0,0,"4,130",,151
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,05/01/2020,3. Lunch,16,156,31,"3,975",0,0,"3,975",,156
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,05/01/2020,4. PM Snack,16,156,31,"4,548",0,0,"4,548",,156
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,06/01/2020,1. Breakfast,1,5,30,150,0,0,150,,5
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,06/01/2020,1. Breakfast,15,144,30,"3,926",0,0,"3,926",,144
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,06/01/2020,3. Lunch,16,149,30,"4,072",0,0,"4,072",,149
2019 - 2020,School Nutrition Programs,"5,789",Grafton/GIHN SNP,06/01/2020,4. PM Snack,16,149,30,"4,364",0,0,"4,364",,149
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,09/01/2019,1. Breakfast,1,43,30,700,0,0,700,,40
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,09/01/2019,3. Lunch,1,43,30,"1,054",0,0,"1,054",,40
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,09/01/2019,4. PM Snack,1,43,30,701,0,0,701,,40
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,10/01/2019,1. Breakfast,1,46,31,932,0,0,932,,44
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,10/01/2019,3. Lunch,1,46,31,"1,224",0,0,"1,224",,44
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,10/01/2019,4. PM Snack,1,46,31,945,0,0,945,,44
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,11/01/2019,1. Breakfast,1,47,30,702,0,0,702,,46
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,11/01/2019,3. Lunch,1,47,30,"1,214",0,0,"1,214",,46
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,11/01/2019,4. PM Snack,1,47,30,686,0,0,686,,46
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,12/01/2019,1. Breakfast,1,45,31,702,0,0,702,,43
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,12/01/2019,3. Lunch,1,45,31,"1,111",0,0,"1,111",,43
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,12/01/2019,4. PM Snack,1,45,31,707,0,0,707,,43
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,01/01/2020,1. Breakfast,1,40,31,717,0,0,717,,37
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,01/01/2020,3. Lunch,1,40,31,"1,032",0,0,"1,032",,37
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,01/01/2020,4. PM Snack,1,40,31,725,0,0,725,,37
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,02/01/2020,1. Breakfast,1,41,29,678,0,0,678,,40
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,02/01/2020,3. Lunch,1,41,29,"1,058",0,0,"1,058",,40
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,02/01/2020,4. PM Snack,1,41,29,695,0,0,695,,40
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,03/01/2020,1. Breakfast,1,43,31,858,0,0,858,,42
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,03/01/2020,3. Lunch,1,43,31,"1,195",0,0,"1,195",,42
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,03/01/2020,4. PM Snack,1,43,31,901,0,0,901,,42
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,04/01/2020,1. Breakfast,1,44,30,868,0,0,868,,42
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,04/01/2020,3. Lunch,1,44,30,"1,125",0,0,"1,125",,42
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,04/01/2020,4. PM Snack,1,44,30,795,0,0,795,,42
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,05/01/2020,1. Breakfast,1,43,31,795,0,0,795,,42
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,05/01/2020,3. Lunch,1,43,31,"1,272",0,0,"1,272",,42
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,05/01/2020,4. PM Snack,1,43,31,805,0,0,805,,42
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,06/01/2020,1. Breakfast,1,43,30,829,0,0,829,,40
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,06/01/2020,3. Lunch,1,43,30,"1,176",0,0,"1,176",,40
2019 - 2020,School Nutrition Programs,"5,790",Leary Educational Foundation,06/01/2020,4. PM Snack,1,43,30,845,0,0,845,,40
2019 - 2020,School Nutrition Programs,"5,791",United Methodist Family Services,09/01/2019,1. Breakfast,2,87,30,"1,880",97,173,"2,150",,87
2019 - 2020,School Nutrition Programs,"5,791",United Methodist Family Services,09/01/2019,3. Lunch,3,163,30,"2,315",124,926,"3,365",,156
2019 - 2020,School Nutrition Programs,"5,791",United Methodist Family Services,09/01/2019,4. PM Snack,1,45,21,945,0,0,945,,45
2019 - 2020,School Nutrition Programs,"5,791",United Methodist Family Services,10/01/2019,1. Breakfast,2,91,31,"2,057",109,192,"2,358",,90
2019 - 2020,School Nutrition Programs,"5,791",United Methodist Family Services,10/01/2019,3. Lunch,3,165,31,"2,431",90,974,"3,495",,163
2019 - 2020,School Nutrition Programs,"5,791",United Methodist Family Services,10/01/2019,4. PM Snack,1,45,23,"1,035",0,0,"1,035",,45
2019 - 2020,School Nutrition Programs,"5,791",United Methodist Family Services,11/01/2019,1. Breakfast,2,89,30,"1,831",99,150,"2,080",,89
2019 - 2020,School Nutrition Programs,"5,791",United Methodist Family Services,11/01/2019,3. Lunch,3,164,30,"2,119",47,678,"2,844",,159
2019 - 2020,School Nutrition Programs,"5,791",United Methodist Family Services,11/01/2019,4. PM Snack,1,43,21,903,0,0,903,,43
2019 - 2020,School Nutrition Programs,"5,791",United Methodist Family Services,12/01/2019,1. Breakfast,2,87,31,"1,769",79,130,"1,978",,87
2019 - 2020,School Nutrition Programs,"5,791",United Methodist Family Services,12/01/2019,3. Lunch,3,158,31,"1,967",33,517,"2,517",,158
2019 - 2020,School Nutrition Programs,"5,791",United Methodist Family Services,12/01/2019,4. PM Snack,1,43,22,946,0,0,946,,43
2019 - 2020,School Nutrition Programs,"5,791",United Methodist Family Services,01/01/2020,1. Breakfast,2,86,31,"1,939",99,83,"2,121",,81
2019 - 2020,School Nutrition Programs,"5,791",United Methodist Family Services,01/01/2020,3. Lunch,3,163,31,"2,224",50,673,"2,947",,147
2019 - 2020,School Nutrition Programs,"5,791",United Methodist Family Services,01/01/2020,4. PM Snack,1,42,23,966,0,0,966,,42
